LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlpha,AvgBeta,AvgGamma,PrevAlpha1,PrevBeta1,PrevGamma1,PrevAlpha2,PrevBeta2,PrevGamma2,PrevAlpha3,PrevBeta3,PrevGamma3,PrevAlpha4,PrevBeta4,PrevGamma4,PrevAlpha5,PrevBeta5,PrevGamma5,eyesC
855.7615552,1.845095454,822.8807318,-0.151314939,768.9483578,1.698873842,298.6250084,0.22621299,446.1478349,0.136983775,417.6004213,0.570968019,839.3211435,533.7866831,431.8741281,1193.705262,703.1826222,511.2328304,882.0708946,565.0360574,485.4957391,710.5013084,626.5361258,443.8184608,1686.918028,923.1452605,539.1952971,1394.604725,775.4334306,581.5514505,0
1237.322116,1.920277655,671.983481,0.380438057,618.3205593,0.074128063,391.5204311,0.23863958,428.4496712,-0.086224865,464.0046683,-0.050183417,954.6527986,504.9204952,446.2271698,839.3211435,533.7866831,431.8741281,1193.705262,703.1826222,511.2328304,882.0708946,565.0360574,485.4957391,710.5013084,626.5361258,443.8184608,1686.918028,923.1452605,539.1952971,0
885.1423862,1.90108824,551.0393127,-1.384083702,646.3454208,0.29325854,406.4832889,0.824044789,406.460195,-0.192067612,408.6983811,0.047676236,718.0908494,526.4143549,407.579288,954.6527986,504.9204952,446.2271698,839.3211435,533.7866831,431.8741281,1193.705262,703.1826222,511.2328304,882.0708946,565.0360574,485.4957391,710.5013084,626.5361258,443.8184608,0
856.8221833,0.944096426,518.660183,-0.285263709,655.1282903,-1.323183904,362.3194364,0.442593898,445.5449217,-0.553664949,419.7498568,-0.363980782,687.7411832,508.7238634,432.6473892,718.0908494,526.4143549,407.579288,954.6527986,504.9204952,446.2271698,839.3211435,533.7866831,431.8741281,1193.705262,703.1826222,511.2328304,882.0708946,565.0360574,485.4957391,0
715.4263918,-0.318478653,312.4809481,-0.658733311,560.2824347,-0.363242913,400.2658475,0.137330284,480.8239336,0.636572828,439.0642754,0.136435509,513.9536699,480.2741411,459.9441045,687.7411832,508.7238634,432.6473892,718.0908494,526.4143549,407.579288,954.6527986,504.9204952,446.2271698,839.3211435,533.7866831,431.8741281,1193.705262,703.1826222,511.2328304,0
1193.510088,1.693931606,458.5612822,2.195291859,586.1341608,2.081857011,353.1005301,0.302057115,414.9152542,0.359463161,409.7933036,0.405038535,826.0356849,469.6173455,412.3542789,513.9536699,480.2741411,459.9441045,687.7411832,508.7238634,432.6473892,718.0908494,526.4143549,407.579288,954.6527986,504.9204952,446.2271698,839.3211435,533.7866831,431.8741281,0
915.7177755,0.951806732,341.1314075,2.418472078,429.4059973,-0.622413989,360.8923197,-1.140355886,417.379631,0.683316143,411.0199144,0.484369932,628.4245915,395.1491585,414.1997727,826.0356849,469.6173455,412.3542789,513.9536699,480.2741411,459.9441045,687.7411832,508.7238634,432.6473892,718.0908494,526.4143549,407.579288,954.6527986,504.9204952,446.2271698,0
1070.438513,1.240112154,956.0609518,2.51463079,514.8655114,0.983886981,457.5027887,1.170055115,352.8546406,-0.503412356,390.8174595,-0.735441813,1013.249732,486.1841501,371.83605,628.4245915,395.1491585,414.1997727,826.0356849,469.6173455,412.3542789,513.9536699,480.2741411,459.9441045,687.7411832,508.7238634,432.6473892,718.0908494,526.4143549,407.579288,0
498.0590028,-0.521723067,785.3696508,-0.580417861,367.5918437,0.452699611,411.355503,-0.000518735,394.0514536,-0.88637224,436.2552664,-0.669410504,641.7143268,389.4736733,415.15336,1013.249732,486.1841501,371.83605,628.4245915,395.1491585,414.1997727,826.0356849,469.6173455,412.3542789,513.9536699,480.2741411,459.9441045,687.7411832,508.7238634,432.6473892,0
361.8418509,0.607637682,750.205232,1.936989595,478.787315,0.988773212,444.6749835,0.823280145,384.143317,0.73650506,410.6911772,-0.104917402,556.0235414,461.7311493,397.4172471,641.7143268,389.4736733,415.15336,1013.249732,486.1841501,371.83605,628.4245915,395.1491585,414.1997727,826.0356849,469.6173455,412.3542789,513.9536699,480.2741411,459.9441045,0
318.6035048,-0.132727451,730.2326378,0.328781703,475.056511,0.104041973,378.7774458,0.190014557,418.2006592,0.202000275,402.0083786,0.56341832,524.4180713,426.9169784,410.1045189,556.0235414,461.7311493,397.4172471,641.7143268,389.4736733,415.15336,1013.249732,486.1841501,371.83605,628.4245915,395.1491585,414.1997727,826.0356849,469.6173455,412.3542789,0
584.8394516,-1.082508322,553.1586521,1.049419341,501.868161,-0.003850672,392.8368756,-0.17881797,466.270524,0.43208649,448.4272146,0.737652473,568.9990518,447.3525183,457.3488693,524.4180713,426.9169784,410.1045189,556.0235414,461.7311493,397.4172471,641.7143268,389.4736733,415.15336,1013.249732,486.1841501,371.83605,628.4245915,395.1491585,414.1997727,0
600.9943233,0.945330371,540.3848166,1.494042294,756.8122859,1.495237658,475.1647643,-1.148091169,509.8103802,0.010675245,460.245478,-0.394448228,570.68957,615.9885251,485.0279291,568.9990518,447.3525183,457.3488693,524.4180713,426.9169784,410.1045189,556.0235414,461.7311493,397.4172471,641.7143268,389.4736733,415.15336,1013.249732,486.1841501,371.83605,0
670.3691219,0.050734734,513.358133,0.090324449,745.8807151,-0.389767872,448.9879174,0.470291143,495.8676032,-0.297352616,443.7100911,-0.022786311,591.8636274,597.4343163,469.7888471,570.68957,615.9885251,485.0279291,568.9990518,447.3525183,457.3488693,524.4180713,426.9169784,410.1045189,556.0235414,461.7311493,397.4172471,641.7143268,389.4736733,415.15336,0
731.6496904,-0.764671481,571.4558759,0.723873578,789.4002252,-1.266069462,468.4791386,-0.525592052,526.1937923,-0.040585415,459.1222009,-0.318926,651.5527832,628.9396819,492.6579966,591.8636274,597.4343163,469.7888471,570.68957,615.9885251,485.0279291,568.9990518,447.3525183,457.3488693,524.4180713,426.9169784,410.1045189,556.0235414,461.7311493,397.4172471,0
997.6548117,-1.843326182,715.7919435,-0.091744865,790.432961,-0.732813769,539.4933631,-0.602433028,490.8986093,-0.851211997,461.4379647,-0.937835303,856.7233776,664.9631621,476.168287,651.5527832,628.9396819,492.6579966,591.8636274,597.4343163,469.7888471,570.68957,615.9885251,485.0279291,568.9990518,447.3525183,457.3488693,524.4180713,426.9169784,410.1045189,0
1020.9944,0.456989934,900.1566519,-1.656044751,757.9321464,0.251871732,422.7175282,-0.010669666,457.4352196,-0.732088099,421.96056,-0.010849355,960.5755259,590.3248373,439.6978898,856.7233776,664.9631621,476.168287,651.5527832,628.9396819,492.6579966,591.8636274,597.4343163,469.7888471,570.68957,615.9885251,485.0279291,568.9990518,447.3525183,457.3488693,0
589.492412,0.179567783,966.4630431,-0.985388459,781.0897656,-0.89744098,402.5910859,-0.843526063,421.3194284,-0.431058693,387.9123303,-0.378691478,777.9777275,591.8404257,404.6158794,960.5755259,590.3248373,439.6978898,856.7233776,664.9631621,476.168287,651.5527832,628.9396819,492.6579966,591.8636274,597.4343163,469.7888471,570.68957,615.9885251,485.0279291,0
1481.610071,2.371224165,949.9225112,-0.501890405,815.7981274,-0.495453168,421.7701418,0.233385307,448.7356361,0.186431845,372.3837975,-0.268579971,1215.766291,618.7841346,410.5597168,777.9777275,591.8404257,404.6158794,960.5755259,590.3248373,439.6978898,856.7233776,664.9631621,476.168287,651.5527832,628.9396819,492.6579966,591.8636274,597.4343163,469.7888471,0
